FIPS,State,County,Uninsured_Adults,Population,Hispanic
48000,Texas,,4106735,28701845,11368849
48001,Texas,Anderson,6023,58057,10430
48003,Texas,Andrews,2667,18128,10268
48005,Texas,Angelina,12575,87092,19589
48007,Texas,Aransas,3342,23792,6526
48009,Texas,Archer,944,8786,717
48011,Texas,Armstrong,189,1892,151
48013,Texas,Atascosa,7170,50310,32529
48015,Texas,Austin,3953,29989,8265
48017,Texas,Bailey,1337,7027,4504
48019,Texas,Bandera,3059,22824,4430
48021,Texas,Bastrop,12757,86976,33683
48023,Texas,Baylor,359,3582,489
48025,Texas,Bee,3219,32587,19309
48027,Texas,Bell,40560,355642,89922
48029,Texas,Bexar,264129,1986049,1201366
48031,Texas,Blanco,1578,11702,2318
48033,Texas,Borden,44,648,121
48035,Texas,Bosque,2667,18691,3560
48037,Texas,Bowie,9457,94324,7362
48039,Texas,Brazoria,42099,370200,115205
48041,Texas,Brazos,27612,226758,59015
48043,Texas,Brewster,1199,9267,4173
48045,Texas,Briscoe,245,1516,376
48047,Texas,Brooks,881,7114,6514
48049,Texas,Brown,4456,37924,8627
48051,Texas,Burleson,2460,18389,3830
48053,Texas,Burnet,6964,47542,10778
48055,Texas,Caldwell,6554,43247,22935
48057,Texas,Calhoun,2805,21561,10591
48059,Texas,Callahan,1765,13994,1387
48061,Texas,Cameron,91749,423908,380728
48063,Texas,Camp,1799,13033,3345
48065,Texas,Carson,568,6005,630
48067,Texas,Cass,3280,30119,1416
48069,Texas,Castro,1519,7665,5020
48071,Texas,Chambers,4485,42454,9699
48073,Texas,Cherokee,7487,52592,12411
48075,Texas,Childress,796,7291,2331
48077,Texas,Clay,1232,10456,684
48079,Texas,Cochran,513,2836,1698
48081,Texas,Coke,340,3370,724
48083,Texas,Coleman,1270,8397,1470
48085,Texas,Collin,91532,1005146,155001
48087,Texas,Collingsworth,557,2962,1003
48089,Texas,Colorado,2865,21217,6494
48091,Texas,Comal,15299,148373,41187
48093,Texas,Comanche,2061,13534,3826
48095,Texas,Concho,318,4276,2366
48097,Texas,Cooke,5610,40574,7614
48099,Texas,Coryell,7162,74808,14001
48101,Texas,Cottle,205,1389,341
48103,Texas,Crane,655,4794,3124
48105,Texas,Crockett,507,3499,2320
48107,Texas,Crosby,766,5779,3222
48109,Texas,Culberson,349,2204,1589
48111,Texas,Dallam,1450,7200,3411
48113,Texas,Dallas,461559,2637772,1068361
48115,Texas,Dawson,1786,12619,7331
48117,Texas,Deaf Smith,3326,18760,13788
48119,Texas,Delta,597,5349,452
48121,Texas,Denton,83386,859064,167727
48123,Texas,DeWitt,2196,20187,7174
48125,Texas,Dickens,243,2249,710
48127,Texas,Dimmit,1471,10308,9008
48129,Texas,Donley,368,3319,395
48131,Texas,Duval,1466,11212,9993
48133,Texas,Eastland,2420,18322,3084
48135,Texas,Ector,24498,162124,99444
48137,Texas,Edwards,257,1928,1067
48139,Texas,Ellis,23041,179436,47809
48141,Texas,El Paso,149061,840758,697411
48143,Texas,Erath,5813,42446,9204
48145,Texas,Falls,2116,17335,4108
48147,Texas,Fannin,4386,35286,4088
48149,Texas,Fayette,2961,25349,5463
48151,Texas,Fisher,448,3839,1098
48153,Texas,Floyd,897,5837,3474
48155,Texas,Foard,163,1200,226
48157,Texas,Fort Bend,75326,787858,194437
48159,Texas,Franklin,1206,10766,1596
48161,Texas,Freestone,2424,19808,3138
48163,Texas,Frio,2671,19816,15717
48165,Texas,Gaines,4304,20901,8853
48167,Texas,Galveston,41375,337890,84480
48169,Texas,Garza,735,6578,3445
48171,Texas,Gillespie,3269,26804,6342
48173,Texas,Glasscock,169,1388,534
48175,Texas,Goliad,731,7584,2759
48177,Texas,Gonzales,3578,20826,10717
