FIPS,Population,# Uninsured,% Uninsured,Average Daily PM2.5,% Smokers
48000,28995881,4106735,14.16,7.3,14
48001,57735,6023,10.43,8.5,22
48003,18705,2667,14.26,6.3,17
48005,86715,12575,14.50,9.0,20
48007,23510,3342,14.22,7.4,20
48009,8553,944,11.04,7.2,18
48011,1887,189,10.02,5.8,17
48013,51153,7170,14.02,7.8,17
48015,30032,3953,13.16,8.5,17
48017,7000,1337,19.10,5.9,18
48019,23112,3059,13.24,7.3,18
48021,88723,12757,14.38,8.1,18
48023,3509,359,10.23,6.5,19
48025,32565,3219,9.88,7.7,20
48027,362924,40560,11.18,8.3,18
48029,2003554,264129,13.18,7.9,15
48031,11931,1578,13.23,7.3,17
48033,654,44,6.73,6.0,14
48035,18685,2667,14.27,7.9,20
48037,93245,9457,10.14,9.2,20
48039,374264,42099,11.25,9.7,15
48041,229211,27612,12.05,8.4,16
48043,9203,1199,13.03,5.7,15
48045,1546,245,15.85,5.9,19
48047,7093,881,12.42,7.3,19
48049,37864,4456,11.77,6.8,19
48051,18443,2460,13.34,8.0,20
48053,48155,6964,14.46,7.4,18
48055,43664,6554,15.01,8.0,19
48057,21290,2805,13.18,7.5,18
48059,13943,1765,12.66,6.5,20
48061,423163,91749,21.68,9.5,18
48063,13094,1799,13.74,8.7,20
48065,5926,568,9.58,6.0,16
48067,30026,3280,10.92,9.1,22
48069,7530,1519,20.17,6.3,18
48071,43837,4485,10.23,8.5,18
48073,52646,7487,14.22,8.8,21
48075,7306,796,10.90,6.2,21
48077,10471,1232,11.77,7.4,19
48079,2853,513,17.98,5.9,21
48081,3387,340,10.04,6.2,19
48083,8175,1270,15.54,6.5,21
48085,1034730,91532,8.85,9.3,12
48087,2920,557,19.08,6.0,20
48089,21493,2865,13.33,7.9,19
48091,156209,15299,9.79,8.3,15
48093,13635,2061,15.12,7.0,19
48095,2726,318,11.67,6.2,19
48097,41257,5610,13.60,8.5,19
48099,75951,7162,9.43,7.8,20
48101,1398,205,14.66,6.0,23
48103,4797,655,13.65,6.2,16
48105,3464,507,14.64,6.2,16
48107,5737,766,13.35,6.3,20
48109,2171,349,16.08,5.5,22
48111,7287,1450,19.90,5.4,19
48113,2635516,461559,17.51,8.8,16
48115,12728,1786,14.03,6.1,22
48117,18546,3326,17.93,6.1,17
48119,5331,597,11.20,8.2,21
48121,887207,83386,9.40,9.4,13
48123,20160,2196,10.89,7.7,20
48125,2211,243,10.99,5.9,20
48127,10124,1471,14.53,6.9,19
48129,3278,368,11.23,5.9,20
48131,11157,1466,13.14,7.2,19
48133,18360,2420,13.18,6.8,22
48135,166223,24498,14.74,6.6,17
48137,1932,257,13.30,6.1,18
48139,184826,23041,12.47,8.3,17
48141,839238,149061,17.76,9.8,15
48143,42698,5813,13.61,7.2,19
48145,17297,2116,12.23,8.2,22
48147,35514,4386,12.35,8.5,21
48149,25346,2961,11.68,7.8,19
48151,3830,448,11.70,6.3,18
48153,5712,897,15.70,6.2,19
48155,1155,163,14.11,6.2,20
48157,811688,75326,9.28,10.1,12
48159,10725,1206,11.24,8.6,18
48161,19717,2424,12.29,8.4,21
48163,20306,2671,13.15,7.2,19
48165,21492,4304,20.03,6.3,21
48167,342139,41375,12.09,6.7,18
48169,6229,735,11.80,5.9,20
48171,26988,3269,12.11,7.0,16
48173,1409,169,11.99,6.1,18
48175,7658,731,9.55,7.5,18
48177,20837,3578,17.17,7.7,19
48179,21886,3189,14.57,6.0,21
48181,136212,18310,13.44,8.8,19
48183,123945,18003,14.52,9.2,20
48185,28880,3749,12.98,8.7,21
48187,166847,17326,10.38,8.5,15
48189,33406,4871,14.58,6.5,18
48191,2964,555,18.72,5.9,24
48193,8461,1172,13.85,7.1,21
48195,5399,974,18.04,6.0,21
48197,3933,635,16.15,6.3,21
48199,57602,6149,10.67,8.6,21
48201,4713325,789149,16.74,10.1,16
48203,66553,8302,12.47,8.6,21
48205,5576,646,11.59,5.3,17
48207,5658,887,15.68,6.4,23
